10 threads
3.86806;0.1;40;60
3.87017;0.04;0;50
3.87595;0.08;40;60
3.87595;0.09;40;60
3.87595;0.07;40;60
3.88886;0.07;0;70
3.88894;0.07;40;70
3.89094;0.08;40;80
3.89094;0.09;40;80
3.89158;0.1;40;80
3.90849;0.1;50;50
3.91703;0.1;50;60
3.91741;0.02;40;40
3.91843;0.04;0;60
3.92625;0.1;60;60
3.93182;0.09;40;90
3.93182;0.08;40;90
3.93182;0.1;40;90
3.93184;0.1;50;70
3.93433;0.09;10;10
3.95003;0.08;50;50
3.95003;0.09;50;50
3.95113;0.09;50;60
3.95708;0.07;0;40
3.99358;0.04;0;40
4.01506;0.07;20;90
4.03831;0.1;60;70
4.0445;0.05;20;70
4.04745;0.02;20;90
4.04935;0.07;50;50
4.05615;0.06;10;80
4.05851;0.06;30;60
4.06351;0.04;20;30
4.06679;0.06;10;90
4.07712;0.06;0;90
4.07721;0.06;0;20
4.08397;0.09;50;70
4.08615;0.05;10;70
4.08615;0.06;10;70
4.09406;0.09;60;60
4.10137;0.08;60;70
4.10137;0.09;60;70
4.11377;0.09;60;90
4.11405;0.1;50;80
4.11429;0.09;50;80
4.11751;0.06;0;80
4.11788;0.03;70;90
4.12607;0.03;70;80
4.12791;0.1;60;90
4.12941;0.08;60;60
4.13346;0.03;60;90
4.13863;0.03;40;40
4.13904;0.09;50;90
4.13904;0.1;50;90
4.13999;0.08;50;80
4.14436;0.08;70;90
4.14481;0.09;60;80
4.14523;0.09;70;90
4.14611;0.1;70;90
4.15725;0.1;60;80
4.15745;0.08;60;90
4.16474;0.08;50;90
4.17491;0.08;70;80
4.17578;0.09;70;80
4.17665;0.1;70;80
4.17906;0.06;30;70
4.1801;0.04;20;20
4.18033;0.08;50;70
4.18634;0.09;70;70
4.18634;0.08;70;70
4.18841;0.08;60;80
4.18879;0.06;30;80
4.19853;0.1;70;70
4.20685;0.08;50;60
4.21098;0.03;30;30
4.21149;0.02;30;80
4.21202;0.05;10;80
4.21562;0.06;0;30
4.21676;0.02;30;70
4.22405;0.06;20;80
4.22554;0.05;30;60
4.23503;0.08;0;20
4.24134;0.06;40;60
4.24267;0.07;50;60
4.2558;0.05;60;80
4.26396;0.04;0;30
4.27655;0.06;0;10
4.27881;0.04;20;70
4.2855;0.02;40;70
4.28962;0.07;50;80
4.29288;0.02;30;90
4.29797;0.07;0;20
4.30941;0.07;60;60
4.32099;0.03;60;80
4.32557;0.07;50;70
4.32628;0.05;30;70
4.32947;0.07;50;90
4.33602;0.05;30;80
4.34021;0.05;40;60
4.34055;0.05;20;60
4.35101;0.07;70;70
4.35263;0.05;60;70
4.35646;0.03;40;60
4.35867;0.03;40;90
4.36842;0.02;40;80
4.37245;0.03;30;50
4.3738;0.05;50;50
4.3738;0.06;50;50
4.38168;0.05;10;90
4.38537;0.07;70;80
4.39101;0.07;40;90
4.39737;0.07;30;90
4.39849;0.04;30;70
4.40061;0.04;30;90
4.40155;0.05;50;90
4.40297;0.06;70;90
4.40543;0.06;60;80
4.40565;0.06;0;70
4.40658;0.06;70;80
4.41733;0.07;60;80
4.41855;0.06;60;90
4.41877;0.03;60;60
4.41965;0.04;70;90
4.42268;0.06;70;70
4.42588;0.04;70;80
4.4301;0.06;50;90
4.43155;0.03;70;70
4.43214;0.07;70;90
4.44066;0.06;20;90
4.44345;0.04;30;80
4.44544;0.07;40;80
4.44561;0.07;60;90
4.44679;0.05;20;90
4.44686;0.04;10;10
4.44894;0.04;30;60
4.44972;0.02;30;50
4.45091;0.03;50;80
4.45177;0.03;30;80
4.45262;0.04;20;80
4.45662;0.05;20;80
4.45942;0.02;40;60
4.45949;0.07;60;70
4.46101;0.03;50;90
4.47863;0.02;40;90
4.4813;0.03;20;50
4.49988;0.06;50;70
4.50226;0.06;60;70
4.51649;0.02;20;80
4.5174;0.1;0;20
4.53734;0.05;70;70
4.55364;0.04;10;50
4.55687;0.03;60;70
4.55734;0.05;30;90
4.55832;0.04;70;70
4.5654;0.05;50;60
4.5654;0.06;50;60
4.56661;0.06;50;80
4.56689;0.03;40;80
4.57203;0.04;60;80
4.57547;0.05;0;90
4.58599;0.05;70;90
4.58646;0.04;50;90
4.58748;0.05;70;80
4.59641;0.03;40;70
4.60046;0.04;60;60
4.60087;0.05;60;90
4.6029;0.06;40;70
4.60797;0.04;40;70
4.61406;0.06;30;90
4.615;0.04;60;90
4.6248;0.03;30;90
4.6257;0.04;50;50
4.64396;0.03;50;60
4.67697;0.04;60;70
4.679;0.05;0;20
4.68441;0.03;30;70
4.68934;0.05;50;80
4.70903;0.03;0;30
4.72456;0.05;0;80
4.73793;0.04;40;60
4.74859;0.05;60;60
4.75904;0.05;0;70
4.76621;0.04;50;60
4.76985;0.06;40;90
4.78831;0.03;50;70
4.79339;0.04;10;60
4.79387;0.03;20;20
4.7976;0.06;40;80
4.80711;0.02;10;80
4.80797;0.05;50;70
4.81298;0.03;20;30
4.81834;0.04;20;90
4.8202;0.03;20;40
4.8214;0.04;40;90
4.82515;0.03;30;40
4.82838;0.04;40;80
